"","Cities","Season","AverageTemprature","AverageMaximumTemperature","AverageMinimumTemperature","AverageSunriseTime","AverageNumberofRainyDays","MonthlyTotalRainfallAverage"
"1","ADANA","WINTER",7.6,11.9333333333333,6.33333333333333,5.53333333333333,7.46666666666667,67.7333333333333
"2","ADANA","SUMMER",27.3,33.4,21.9,10.4,1.5,10.8
"3","ADANA","SPRING",17.4,23.7333333333333,11.9,7.4,8.03333333333333,54.6333333333333
"4","ADANA","AUTUMN",20.8333333333333,28.2333333333333,15.3666666666667,7.63333333333333,4.86666666666667,43.6666666666667
"5","ADIYAMAN","WINTER",6.13333333333333,6.96666666666667,3.2,4.96666666666667,9.06666666666667,81.4333333333333
"6","ADIYAMAN","SUMMER",29.5,36.1666666666667,22.1666666666667,12.1,1.16666666666667,3.16666666666667
"7","ADIYAMAN","SPRING",15.2666666666667,20.7,9.9,7.4,10.4666666666667,66.3333333333333
"8","ADIYAMAN","AUTUMN",18.7333333333333,25.1666666666667,13.3333333333333,7.5,5.56666666666667,42.6
"9","AFYONKARAHISAR","WINTER",2,6.3,-1.66666666666667,4.03333333333333,9.2,30.4333333333333
"10","AFYONKARAHISAR","SUMMER",21.1666666666667,28.2,12.7333333333333,10.5666666666667,4.83333333333333,23.9
"11","AFYONKARAHISAR","SPRING",10.2666666666667,16.1666666666667,4.1,6.53333333333333,11.8333333333333,48.8
"12","AFYONKARAHISAR","AUTUMN",12.3,19.0666666666667,5.66666666666667,6.43333333333333,6.76666666666667,29.9333333333333
"13","AGRI","WINTER",-5.26666666666667,-2.7,-9.4,4.03333333333333,9.46666666666667,33.8666666666667
"14","AGRI","SUMMER",19.6333333333333,27.7,10.6,9.93333333333333,6.66666666666667,25.7333333333333
"15","AGRI","SPRING",4.96666666666667,10.7,-0.733333333333333,5.73333333333333,13.8666666666667,63.3333333333333
"16","AGRI","AUTUMN",8.93333333333333,16.7333333333333,1.66666666666667,6.53333333333333,7.36666666666667,39.8333333333333
"17","AKSARAY","WINTER",2.23333333333333,6.9,-1.66666666666667,4.46666666666667,7.63333333333333,26.6
"18","AKSARAY","SUMMER",22.4666666666667,29.4,14.9,11.5666666666667,2.93333333333333,11.6333333333333
"19","AKSARAY","SPRING",11.4333333333333,17.7333333333333,5.4,7.23333333333333,10.5333333333333,42.6666666666667
"20","AKSARAY","AUTUMN",12.8333333333333,20.3666666666667,6.53333333333333,7.6,5.23333333333333,22.1333333333333
"21","AMASYA","WINTER",4.43333333333333,8.16666666666667,0.433333333333333,3.06666666666667,8.76666666666667,31.5
"22","AMASYA","SUMMER",23.3333333333333,30.3333333333333,15.8333333333333,9.1,4.9,20.5666666666667
"23","AMASYA","SPRING",13.3333333333333,19.9,7.06666666666667,5.7,12.9666666666667,52.1333333333333
"24","AMASYA","AUTUMN",14.4666666666667,21.3,8.36666666666667,5.06666666666667,7.36666666666667,33.2666666666667
"25","ANKARA","WINTER",1.93333333333333,5.83333333333333,-1.56666666666667,3.33333333333333,8.76666666666667,26.9666666666667
"26","ANKARA","SUMMER",22.3333333333333,29.0666666666667,14.8333333333333,10.6666666666667,4.83333333333333,19.7
"27","ANKARA","SPRING",11.0333333333333,17,5.16666666666667,6.6,11.3,44.1
"28","ANKARA","AUTUMN",12.9,19.6,7.03333333333333,6.7,6.3,25.7
"29","ANTALYA","WINTER",7.46666666666667,11.4666666666667,6.8,5.93333333333333,8.86666666666667,132.833333333333
"30","ANTALYA","SUMMER",27.3,32.9666666666667,21.6,11.6333333333333,1.23333333333333,4.86666666666667
"31","ANTALYA","SPRING",16.4666666666667,21.6,11.4333333333333,8.4,6.93333333333333,60.2666666666667
"32","ANTALYA","AUTUMN",20,26.2333333333333,15.0666666666667,8.13333333333333,4.96666666666667,72.6333333333333
"33","ARDAHAN","WINTER",-5.7,-2.13333333333333,-10.6333333333333,3.93333333333333,9.1,15.6666666666667
"34","ARDAHAN","SUMMER",15.2,22.8,7.7,8.4,12.6,75.8333333333333
"35","ARDAHAN","SPRING",3.56666666666667,9.8,-2.4,5.8,14.1,55.1
"36","ARDAHAN","AUTUMN",6.23333333333333,13.7333333333333,-0.466666666666667,5.36666666666667,8.76666666666667,33.7
"37","ARTVIN","WINTER",4.23333333333333,7.13333333333333,0.666666666666667,3.13333333333333,9.5,55.3666666666667
"38","ARTVIN","SUMMER",20.2,25.4,16.0333333333333,6.73333333333333,9.66666666666667,36.8333333333333
"39","ARTVIN","SPRING",11.6333333333333,17.3333333333333,7.03333333333333,5.23333333333333,13.3,55.7333333333333
"40","ARTVIN","AUTUMN",13.7333333333333,18.8666666666667,9.96666666666667,4.6,10.0666666666667,58.6333333333333
"41","AYDIN","WINTER",8.5,10.5666666666667,5.43333333333333,4.83333333333333,8.63333333333333,70.5333333333333
"42","AYDIN","SUMMER",27.2666666666667,35.0333333333333,19.5666666666667,10.3,1.2,6.53333333333333
"43","AYDIN","SPRING",16.1666666666667,22.8333333333333,10.2666666666667,6.8,8.03333333333333,51.4
"44","AYDIN","AUTUMN",18.4333333333333,26,12.7,6.46666666666667,5.26666666666667,46.4666666666667
"45","BALIKESIR","WINTER",5.9,7.13333333333333,3.06666666666667,3.5,9.7,53.8
"46","BALIKESIR","SUMMER",23.9333333333333,30.5,16.8666666666667,11.0666666666667,2.5,13.1666666666667
"47","BALIKESIR","SPRING",13,19.1,7.06666666666667,6.56666666666667,9.43333333333333,50.7666666666667
"48","BALIKESIR","AUTUMN",15.6333333333333,21.8666666666667,10.1333333333333,6.33333333333333,6.5,47.8333333333333
"49","BARTIN","WINTER",5.63333333333333,7.5,0.966666666666667,3.73333333333333,11.9666666666667,67
"50","BARTIN","SUMMER",21.2,27.4333333333333,14.8666666666667,9.1,7.46666666666667,69.8666666666667
"51","BARTIN","SPRING",11.3666666666667,17.8,6.1,5.6,12.1,62.6333333333333
"52","BARTIN","AUTUMN",13.5333333333333,20.4,8.5,5.23333333333333,11.1,104.9
"53","BATMAN","WINTER",4.56666666666667,8.73333333333333,0.2,4.13333333333333,8.13333333333333,45.4333333333333
"54","BATMAN","SUMMER",29.3666666666667,37.9,18.6666666666667,11.6333333333333,1.03333333333333,2.86666666666667
"55","BATMAN","SPRING",14.6666666666667,21.7,7.63333333333333,7.26666666666667,10.4333333333333,64.6
"56","BATMAN","AUTUMN",17.4666666666667,25.9666666666667,9.73333333333333,7.43333333333333,4.7,30.2666666666667
"57","BAYBURT","WINTER",-3.13333333333333,1.43333333333333,-5.73333333333333,NA,9.33333333333333,21
"58","BAYBURT","SUMMER",17.8333333333333,25.7,10.0666666666667,NA,6.66666666666667,28.2
"59","BAYBURT","SPRING",6.4,12.2666666666667,1,NA,14.1,57.5
"60","BAYBURT","AUTUMN",8.83333333333333,16.2,2.9,NA,7.6,33.1666666666667
"61","BILECIK","WINTER",4.06666666666667,7.2,0.633333333333333,3.93333333333333,9.83333333333333,33.2333333333333
"62","BILECIK","SUMMER",21.3333333333333,27.5666666666667,15.5333333333333,9.9,4.86666666666667,23
"63","BILECIK","SPRING",11.3666666666667,16.7666666666667,6.63333333333333,6.2,11.0666666666667,45.4
"64","BILECIK","AUTUMN",13.7333333333333,19.2666666666667,9.4,5.96666666666667,7.7,33.1666666666667
"65","BINGOL","WINTER",-0.233333333333333,4.56666666666667,-3.06666666666667,4.8,9.63333333333333,92.7
"66","BINGOL","SUMMER",25.1,32.8,17.4333333333333,9.33333333333333,2.83333333333333,10.0333333333333
"67","BINGOL","SPRING",10.3666666666667,16.2,5.16666666666667,6.06666666666667,14.1,106.666666666667
"68","BINGOL","AUTUMN",13.9,21.2,7.93333333333333,6.26666666666667,6.66666666666667,61.9333333333333
"69","BITLIS","WINTER",-1.4,3.76666666666667,-3.13333333333333,4.23333333333333,10.2,112.733333333333
"70","BITLIS","SUMMER",21.2333333333333,28.8,14.0666666666667,9.6,2.93333333333333,11.1
"71","BITLIS","SPRING",7.5,12.7333333333333,2.86666666666667,6.1,14.9333333333333,146.8
"72","BITLIS","AUTUMN",11.2,18.2666666666667,5.96666666666667,5.83333333333333,7.8,87.3
"73","BOLU","WINTER",2.5,6.73333333333333,-1.83333333333333,3.03333333333333,10.8666666666667,37.8666666666667
"74","BOLU","SUMMER",19,26.6666666666667,11.6,8.83333333333333,7.5,34.8
"75","BOLU","SPRING",9.46666666666667,16.3666666666667,3.4,5.5,13.8,53.3666666666667
"76","BOLU","AUTUMN",11.6,18.9666666666667,5.76666666666667,5.13333333333333,9.8,38.2666666666667
"77","BURDUR","WINTER",4.13333333333333,7.76666666666667,0.266666666666667,4.36666666666667,8,35.5666666666667
"78","BURDUR","SUMMER",23.4333333333333,30.6333333333333,15.8666666666667,11.0333333333333,3.63333333333333,15.5333333333333
"79","BURDUR","SPRING",11.6333333333333,17.7,6,7.36666666666667,9.73333333333333,44.7333333333333
"80","BURDUR","AUTUMN",14.2666666666667,21.1333333333333,8.4,7.2,5.46666666666667,28.2333333333333
"81","BURSA","WINTER",6.46666666666667,7.7,3.6,3.6,10.6,55.9333333333333
"82","BURSA","SUMMER",23.5666666666667,30.0333333333333,16.3333333333333,10.4,3.83333333333333,23.8333333333333
"83","BURSA","SPRING",12.9333333333333,18.8,7.33333333333333,5.73333333333333,10.7,60.7666666666667
"84","BURSA","AUTUMN",15.4666666666667,21.9333333333333,10.0333333333333,6.03333333333333,8.36666666666667,62.4
"85","CANAKKALE","WINTER",6.93333333333333,7.53333333333333,4.46666666666667,4.46666666666667,8.9,54.8666666666667
"86","CANAKKALE","SUMMER",24.0333333333333,29.5666666666667,18.3666666666667,11.6333333333333,2.3,13.7
"87","CANAKKALE","SPRING",12.7666666666667,17.3666666666667,8.46666666666667,7.3,7.73333333333333,47.4666666666667
"88","CANAKKALE","AUTUMN",16.2333333333333,20.9333333333333,12.0666666666667,6.53333333333333,6.1,54.5333333333333
"89","CANKIRI","WINTER",1.23333333333333,5.5,-1.76666666666667,2.76666666666667,8.83333333333333,28.5333333333333
"90","CANKIRI","SUMMER",21.9333333333333,29.7666666666667,13.2333333333333,10.1,6.1,25.7666666666667
"91","CANKIRI","SPRING",10.9,17.4666666666667,4.3,6.2,11.8,47
"92","CANKIRI","AUTUMN",11.7333333333333,19.6,5,5.96666666666667,6.4,23.1666666666667
"93","CORUM","WINTER",1.26666666666667,6.2,-2.3,3.83333333333333,9.23333333333333,25.2666666666667
"94","CORUM","SUMMER",20.4,28.1,11.7,9.9,5.66666666666667,28.3333333333333
"95","CORUM","SPRING",10.1666666666667,17,3.4,5.96666666666667,12.3,49.1333333333333
"96","CORUM","AUTUMN",11.7666666666667,19.4,5.03333333333333,5.63333333333333,6.66666666666667,27.6
"97","DENIZLI","WINTER",6.66666666666667,8.56666666666667,3.73333333333333,4.26666666666667,8.1,57.2666666666667
"98","DENIZLI","SUMMER",26.4,33.3666666666667,19.0333333333333,11.4,2.83333333333333,15.5666666666667
"99","DENIZLI","SPRING",14.8666666666667,21,9.13333333333333,7.36666666666667,9.8,53.3333333333333
"100","DENIZLI","AUTUMN",16.8666666666667,23.6333333333333,11.3,6.9,5.33333333333333,34.9666666666667
"101","DIYARBAKIR","WINTER",3.4,7.53333333333333,-0.8,4.53333333333333,9.06666666666667,48.4333333333333
"102","DIYARBAKIR","SUMMER",29.2333333333333,36.7,19.7,12.1,1.16666666666667,3.06666666666667
"103","DIYARBAKIR","SPRING",13.7666666666667,20.4666666666667,6.86666666666667,7.43333333333333,10.7333333333333,58.8666666666667
"104","DIYARBAKIR","AUTUMN",17.2,24.9666666666667,10,7.7,5.1,29.9333333333333
"105","DUZCE","WINTER",5.66666666666667,7.06666666666667,2.5,2.36666666666667,11.3,54.8666666666667
"106","DUZCE","SUMMER",21.8333333333333,28.3333333333333,16.0333333333333,8.6,7.3,50.8666666666667
"107","DUZCE","SPRING",12.2666666666667,18.5,7.23333333333333,5.23333333333333,12.5333333333333,65.4333333333333
"108","DUZCE","AUTUMN",14.2,20.6666666666667,9.36666666666667,4.36666666666667,10.2666666666667,71.4
"109","EDIRNE","WINTER",4.4,7.86666666666667,0.566666666666667,3.23333333333333,8.5,41.7333333333333
"110","EDIRNE","SUMMER",23.8666666666667,30.8333333333333,16.5666666666667,10.6333333333333,6.03333333333333,33.2666666666667
"111","EDIRNE","SPRING",12.8666666666667,18.9333333333333,7.16666666666667,6.36666666666667,10.1666666666667,50.9
"112","EDIRNE","AUTUMN",14.4,20.6,9.13333333333333,5.56666666666667,7.76666666666667,54.0666666666667
"113","ELAZIG","WINTER",0.833333333333333,5.2,-2.06666666666667,3.6,9.23333333333333,30.4666666666667
"114","ELAZIG","SUMMER",25.7666666666667,32.6333333333333,17.9666666666667,11.5333333333333,2,4.9
"115","ELAZIG","SPRING",11.5666666666667,17.3333333333333,6.03333333333333,6.56666666666667,11.8333333333333,56.1666666666667
"116","ELAZIG","AUTUMN",14.5333333333333,21.1,8.8,6.6,6.16666666666667,32.6666666666667
"117","ERZINCAN","WINTER",-1.13333333333333,4,-3.23333333333333,4.06666666666667,8.76666666666667,21.4333333333333
"118","ERZINCAN","SUMMER",22.7,30.0666666666667,14.2,10.6666666666667,4.8,16.0666666666667
"119","ERZINCAN","SPRING",10.0666666666667,16.1,4.13333333333333,6.36666666666667,12.5333333333333,49
"120","ERZINCAN","AUTUMN",12.2666666666667,19.5666666666667,5.7,6.4,6.9,30.6
"121","ERZURUM","WINTER",-4.26666666666667,-1.8,-8.16666666666667,5.16666666666667,9.13333333333333,18.9333333333333
"122","ERZURUM","SUMMER",17.9,25.0666666666667,9.93333333333333,10.6666666666667,7.6,31.1333333333333
"123","ERZURUM","SPRING",4.5,10.0333333333333,-0.9,6.43333333333333,14.0666666666667,53.8666666666667
"124","ERZURUM","AUTUMN",7.93333333333333,14.8333333333333,1.56666666666667,6.83333333333333,8,35.1333333333333
"125","ESKISEHIR","WINTER",1.83333333333333,6,-1.86666666666667,3.76666666666667,9.7,26.8
"126","ESKISEHIR","SUMMER",20.7333333333333,28.0666666666667,12.8,11.1,4.5,18.1333333333333
"127","ESKISEHIR","SPRING",10.1333333333333,16.7333333333333,3.66666666666667,6.7,11,39.6333333333333
"128","ESKISEHIR","AUTUMN",11.9,19.1666666666667,5.36666666666667,6.56666666666667,6.93333333333333,24.8
"129","GAZIANTEP","WINTER",4.4,7.9,0.4,4.23333333333333,9.36666666666667,64.5
"130","GAZIANTEP","SUMMER",26.3,33.8,19.6333333333333,10.6333333333333,0.966666666666667,3.8
"131","GAZIANTEP","SPRING",13.2666666666667,19.6,7.3,7.03333333333333,9.5,51.6
"132","GAZIANTEP","AUTUMN",16.0333333333333,23.8,10.1333333333333,7.2,5.3,34.6666666666667
"133","GIRESUN","WINTER",7.43333333333333,8.03333333333333,5.3,1.96666666666667,11.2,77.6666666666667
"134","GIRESUN","SUMMER",21.9666666666667,25.3333333333333,18.9666666666667,5.66666666666667,10.9333333333333,82.1333333333333
"135","GIRESUN","SPRING",11.6,15.2333333333333,8.8,3.73333333333333,14.8333333333333,80.1333333333333
"136","GIRESUN","AUTUMN",16.2666666666667,19.9,13.6,3.43333333333333,13.2333333333333,148.6
"137","GUMUSHANE","WINTER",0.266666666666667,4.96666666666667,-2.9,2.9,8.96666666666667,25.8
"138","GUMUSHANE","SUMMER",19.2333333333333,26.9666666666667,12.7,9.5,5.96666666666667,24.0333333333333
"139","GUMUSHANE","SPRING",8.96666666666667,15.5,3.36666666666667,6.1,13.9333333333333,57.4
"140","GUMUSHANE","AUTUMN",11.0666666666667,18.1666666666667,5.56666666666667,5.03333333333333,8.13333333333333,36.5666666666667
"141","HAKKARI","WINTER",-2.26666666666667,1.9,-4,5.06666666666667,9.56666666666667,68.6333333333333
"142","HAKKARI","SUMMER",23.3333333333333,29.1666666666667,16.7666666666667,11.6666666666667,2.16666666666667,7.66666666666667
"143","HAKKARI","SPRING",8.2,12.9,3.7,7.2,12.6333333333333,103.666666666667
"144","HAKKARI","AUTUMN",12.8333333333333,18.2333333333333,7.56666666666667,7.5,6.23333333333333,52.1333333333333
"145","HATAY","WINTER",8.36666666666667,9.46666666666667,5.5,4.16666666666667,10.2666666666667,121.8
"146","HATAY","SUMMER",26.5333333333333,30.7333333333333,23.0666666666667,10.8,1.1,12.8
"147","HATAY","SPRING",17.1666666666667,22.3333333333333,12.3666666666667,7.53333333333333,9.33333333333333,108.3
"148","HATAY","AUTUMN",20.1,26.1333333333333,15.2666666666667,7.33333333333333,6.56666666666667,72.5666666666667
"149","IGDIR","WINTER",-0.866666666666667,4.8,-3.6,3.76666666666667,6.53333333333333,11.8
"150","IGDIR","SUMMER",24.4333333333333,31.9,16.3,9.63333333333333,6.3,18.6666666666667
"151","IGDIR","SPRING",12.5333333333333,18.9333333333333,5.53333333333333,6.16666666666667,10.0666666666667,34.1666666666667
"152","IGDIR","AUTUMN",12.9,20.8666666666667,6.03333333333333,6.23333333333333,5.7,18.4
"153","ISPARTA","WINTER",3.56666666666667,7,-0.8,4.3,9.1,52.4666666666667
"154","ISPARTA","SUMMER",22.2,29.1333333333333,14.2333333333333,10.6333333333333,3.83333333333333,19.6666666666667
"155","ISPARTA","SPRING",10.7,16.6666666666667,4.73333333333333,6.76666666666667,10.5333333333333,55.9333333333333
"156","ISPARTA","AUTUMN",13.0666666666667,20.2666666666667,6.73333333333333,7.2,5.96666666666667,33.8333333333333
"157","ISTANBUL","WINTER",6.7,6.5,4.43333333333333,4,12.1,61.8666666666667
"158","ISTANBUL","SUMMER",23,26,18.7,10.7,5.06666666666667,36.1666666666667
"159","ISTANBUL","SPRING",12.1666666666667,15.4666666666667,8,6.4,10.6333333333333,50.6
"160","ISTANBUL","AUTUMN",15.8333333333333,19.2333333333333,12.9,5.86666666666667,10.5333333333333,83.2
"161","IZMIR","WINTER",6.76666666666667,9.96666666666667,6.6,5.43333333333333,8.73333333333333,79.5666666666667
"162","IZMIR","SUMMER",27.0333333333333,32.2333333333333,21.4333333333333,11.7333333333333,1.03333333333333,4.83333333333333
